isbn,title,author,pub,category,average_rating
0399135782,The Kitchen God's Wife,Amy Tan,Putnam Pub Group,['Fiction'],4.666666666666667
0440234743,The Testament,John Grisham,Dell,['Fiction'],4.8
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,Plume,['Fiction'],4.0
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,Ryland Peters &amp; Small Ltd,['Cooking'],5.0
0971880107,Wild Animus,Rich Shapero,Too Far,['Fiction'],2.4
0345402871,Airframe,Michael Crichton,Ballantine Books,['Fiction'],4.0
0345417623,Timeline,MICHAEL CRICHTON,Ballantine Books,['Fiction'],4.0
0375759778,Prague : A Novel,ARTHUR PHILLIPS,Random House Trade Paperbacks,['Fiction'],4.0
0446310786,To Kill a Mockingbird,Harper Lee,Little Brown &amp; Company,['Fiction'],4.333333333333333
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books,['History'],4.5
0061099686,Downtown,Anne Rivers Siddons,HarperTorch,['Fiction'],5.0
0553582909,Icebound,Dean R. Koontz,Bantam Books,unknown,3.0
0671888587,I'll Be Seeing You,Mary Higgins Clark,Pocket,['Fiction'],4.2
0553582747,From the Corner of His Eye,Dean Koontz,Bantam Books,['Fiction'],4.5
0425182908,Isle of Dogs,Patricia Cornwell,Berkley Publishing Group,['Fiction'],3.3333333333333335
042518630X,Purity in Death,J.D. Robb,Berkley Publishing Group,['Fiction'],4.375
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,Dell,['Fiction'],5.0
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,Tyndale House Publishers,['FICTION'],3.75
0440225701,The Street Lawyer,JOHN GRISHAM,Dell,['Fiction'],3.75
0671623249,LONESOME DOVE,Larry McMurtry,Pocket,unknown,4.0
042511774X,Breathing Lessons,Anne Tyler,Berkley Publishing Group,unknown,4.25
0804106304,The Joy Luck Club,Amy Tan,Prentice Hall (K-12),unknown,4.25
0140067477,The Tao of Pooh,Benjamin Hoff,Penguin Books,['Humor'],4.2
0345465083,Seabiscuit,LAURA HILLENBRAND,Ballantine Books,['History'],4.75
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,Thomas Nelson,['Conduct of life'],4.25
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,Laurel Leaf,unknown,5.0
0316769487,The Catcher in the Rye,J.D. Salinger,"Little, Brown",['Fiction'],4.25
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Random House,['History'],4.4
0671867156,Pretend You Don't See Her,Mary Higgins Clark,Pocket,['Fiction'],4.0
0312261594,Female Intelligence,Jane Heller,St. Martin's Press,unknown,3.0
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,Warner Books,unknown,2.0
0451166892,The Pillars of the Earth,Ken Follett,Signet Book,['Fiction'],4.5
0786868716,The Five People You Meet in Heaven,Mitch Albom,Hyperion,['Fiction'],4.4
0446608653,The Alibi,Sandra Brown,Warner Books,['Fiction'],3.0
