user_id,age,gender
7346,49.0,M
11676,19.0,F
16634,42.0,M
16795,47.0,M
23872,22.0,F
23902,23.0,M
25981,17.0,F
30276,49.0,F
31315,34.0,F
31826,24.0,M
35859,23.0,M
38273,17.0,F
39467,35.0,M
46398,37.0,F
51883,31.0,F
55490,25.0,M
56271,22.0,M
56399,25.0,F
56959,24.0,M
60244,47.0,M
63714,29.0,M
69078,42.0,F
76499,18.0,M
76626,38.0,M
78973,29.0,M
87141,17.0,F
88733,23.0,M
93047,24.0,F
94347,44.0,F
95359,33.0,M
98391,24.0,F
100906,34.0,M
101851,29.0,M
104636,21.0,M
107784,17.0,F
107951,22.0,M
114368,33.0,F
123883,18.0,F
129074,24.0,F
135149,23.0,F
135265,32.0,M
153662,44.0,M
158295,17.0,M
162639,24.0,M
171118,47.0,F
177458,29.0,M
182085,19.0,M
185233,31.0,M
189334,49.0,F
189835,18.0,M
193560,37.0,F
197659,49.0,F
204864,47.0,F
216012,34.0,F
225232,17.0,M
230522,24.0,F
234828,17.0,M
235105,46.0,F
242006,30.0,M
248718,43.0,F
249894,24.0,M
257204,32.0,F
262998,19.0,F
