User-ID,Age,gender
1,17.0,F
2,18.0,M
3,23.0,M
4,17.0,M
5,18.0,F
6,25.0,F
7,19.0,M
8,23.0,M
9,22.0,F
10,26.0,F
11,19.0,M
12,18.0,M
13,26.0,M
14,24.0,M
15,21.0,M
16,18.0,F
17,24.0,F
18,25.0,F
19,19.0,F
20,19.0,F
21,46.0,M
22,24.0,M
23,21.0,F
24,19.0,F
25,24.0,M
26,20.0,F
27,32.0,M
28,24.0,F
29,19.0,M
30,24.0,M
31,20.0,F
32,17.0,F
33,34.0,F
34,22.0,F
35,17.0,M
36,24.0,F
37,23.0,F
38,34.0,F
39,21.0,F
40,32.0,M
41,19.0,F
42,17.0,F
43,21.0,M
44,24.0,M
45,18.0,F
46,31.0,F
47,21.0,F
48,22.0,F
49,20.0,M
50,17.0,F
51,34.0,F
52,20.0,F
53,21.0,M
54,44.0,F
55,24.0,M
56,24.0,F
57,18.0,F
58,24.0,F
59,23.0,M
60,22.0,F
61,30.0,M
62,24.0,F
63,25.0,M
64,32.0,M
65,18.0,M
66,30.0,F
67,43.0,M
68,23.0,M
69,21.0,F
70,44.0,F
71,24.0,M
72,34.0,F
73,23.0,F
74,30.0,F
75,37.0,M
76,21.0,F
77,21.0,F
78,18.0,M
79,20.0,F
80,23.0,F
81,23.0,F
82,19.0,M
83,18.0,M
84,17.0,F
85,41.0,F
86,22.0,F
87,20.0,F
88,23.0,F
89,24.0,F
90,42.0,F
91,20.0,F
92,20.0,M
93,50.0,F
94,39.0,F
95,17.0,F
96,24.0,M
97,23.0,F
98,19.0,F
99,42.0,M
100,44.0,F
101,26.0,F
102,21.0,F
103,24.0,M
104,47.0,F
105,36.0,F
106,21.0,M
107,20.0,F
108,24.0,F
109,20.0,M
110,19.0,F
111,25.0,F
112,32.0,M
113,22.0,M
114,25.0,M
115,24.0,F
116,19.0,M
117,25.0,F
118,28.0,M
119,35.0,M
120,19.0,F
121,24.0,F
122,22.0,F
123,24.0,M
124,25.0,M
125,49.0,M
126,24.0,F
127,28.0,M
128,19.0,F
129,47.0,M
130,21.0,M
131,20.0,F
132,38.0,F
133,45.0,M
134,24.0,M
135,24.0,F
136,17.0,M
137,20.0,M
138,28.0,F
139,35.0,M
140,24.0,F
141,17.0,M
142,24.0,M
143,26.0,M
144,25.0,M
145,21.0,M
146,21.0,M
147,18.0,M
148,25.0,M
149,22.0,M
150,25.0,M
151,18.0,F
152,26.0,F
153,24.0,M
154,18.0,M
155,24.0,F
156,20.0,F
157,36.0,F
158,38.0,F
159,19.0,M
160,20.0,M
161,27.0,M
162,23.0,M
163,20.0,F
164,33.0,M
165,25.0,F
166,20.0,F
167,21.0,M
168,44.0,M
169,19.0,M
170,18.0,M
171,29.0,F
172,26.0,M
173,19.0,M
174,31.0,F
175,22.0,F
176,34.0,F
177,46.0,M
178,28.0,F
179,17.0,F
180,23.0,M
181,20.0,F
182,36.0,M
183,27.0,M
184,22.0,F
185,17.0,F
186,20.0,M
187,29.0,F
188,17.0,M
189,31.0,F
190,33.0,F
191,40.0,M
192,22.0,F
193,23.0,F
194,17.0,M
195,23.0,F
196,33.0,M
197,20.0,F
198,21.0,F
199,38.0,M
200,27.0,F
201,17.0,M
202,28.0,M
203,18.0,M
204,19.0,F
205,23.0,F
206,25.0,M
207,23.0,F
208,17.0,M
209,21.0,M
210,24.0,F
211,21.0,F
212,21.0,F
213,21.0,M
214,27.0,M
215,20.0,M
216,42.0,M
217,22.0,M
218,41.0,M
219,19.0,M
220,17.0,F
221,79.0,F
222,23.0,F
223,24.0,F
224,21.0,M
225,19.0,M
226,17.0,F
227,17.0,F
228,41.0,M
229,22.0,F
230,17.0,M
231,24.0,F
232,19.0,M
233,17.0,M
234,25.0,M
235,22.0,F
236,24.0,M
237,27.0,M
238,23.0,M
239,21.0,M
240,20.0,M
241,21.0,M
242,37.0,F
243,19.0,F
244,17.0,M
245,31.0,M
246,19.0,F
247,23.0,M
248,19.0,M
249,29.0,M
250,25.0,M
251,24.0,M
252,26.0,M
253,28.0,F
254,24.0,F
255,32.0,F
256,21.0,M
257,18.0,M
258,22.0,F
259,45.0,F
260,24.0,M
261,45.0,F
262,28.0,M
263,23.0,F
264,23.0,M
265,24.0,F
266,18.0,F
267,29.0,M
268,17.0,M
269,17.0,F
270,22.0,M
271,22.0,M
272,20.0,M
273,18.0,M
274,26.0,F
275,24.0,M
276,19.0,M
